Hypothesis,Position,Treatment,Outcome,ATE_LRS,ATE_XGB,ATE_LRS_std,ATE_XGB_std,Median_Threshold
C1_Height,Forward,Height,TotalScore,-0.2610361099100451,-0.30736976544062294,1.2663318565028555e-14,3.241261185971729,186.0
C1_Height,Midfield,Height,Clearances,0.04676251603634774,0.05983935026248478,1.0618368769250756e-14,1.609792370765519,185.0
C1_Height,Ruck,Height,HitOuts,4.769664841261663,4.842073406719674,1.5886308824350288e-14,12.352606813139236,201.0
C1_Height,Defender,Height,Rebounds,-0.525708407862633,-0.5771460334992258,6.474995803230754e-15,1.3512947968435118,188.0
C2_Weight,Forward,Weight,TotalScore,-0.28062998943902073,-0.15769202291264253,1.421976853430978e-14,3.3976732388369686,84.0
C2_Weight,Midfield,Weight,Clearances,0.590899798830503,0.6751285547717977,1.3884750367893079e-14,1.5818174994333603,84.0
C2_Weight,Ruck,Weight,HitOuts,4.183627365653621,4.693026473029302,1.562373995108322e-15,13.0388199312186,102.0
C2_Weight,Defender,Weight,Rebounds,-0.30324201635534753,-0.30298160359721743,7.073257220829326e-15,1.2782515227828097,87.0
C3_BMI_primary,Forward,BMI,TotalScore,0.08777362290517647,0.18210472220065546,1.413016206825553e-14,3.447853512507373,24.61810377477591
C3_BMI_secondary,Forward,BMI,MarksInside50,0.1517828369049239,0.11687268011856312,8.9096050457063e-16,0.5909756134530206,24.61810377477591
C3_BMI_primary,Midfield,BMI,Clearances,0.5846447929123312,0.6867267347321048,1.3969744335305225e-14,1.5920817489604526,24.635368550712467
C3_BMI_secondary,Midfield,BMI,Inside50s,0.0628628261025632,0.10811910139768575,3.552713221217628e-15,1.0448599480837346,24.635368550712467
C3_BMI_primary,Ruck,BMI,HitOuts,2.378880666396189,1.4183606424440558,9.911021799090115e-16,12.106863474502122,25.25
C3_BMI_secondary,Ruck,BMI,ContestedMarks,-0.05460771017422135,-0.05631106541617415,3.4750639765645938e-15,0.8682435260616195,25.25
C3_BMI_primary,Defender,BMI,Rebounds,0.0662250376874249,0.10187834534802476,2.3003075069166316e-15,1.2835338767630877,24.543462381300216
C3_BMI_secondary,Defender,BMI,OnePercenters,0.9611427653360438,1.038947120917315,1.3049397388035258e-14,1.8727202408030117,24.543462381300216
C4_Home,Forward,is_home,TotalScore,,-0.050686685144901274,,,
C4_Home,Midfield,is_home,Clearances,,-0.02116483246607941,,,
C4_Home,Ruck,is_home,HitOuts,,0.32210130498816186,,,
C4_Home,Defender,is_home,Rebounds,,-0.06770686067975343,,,
